state,year,name,topic,subtopic,title,relevant_text,description
Louisiana,2020,La. Stat. Ann. 47:305.73 A. (2) (b),Definition - Unserved,,Rebates; sales and use tax for fiber-optic cable equipment,"""Unserved area"" means an area that has service levels below the minimum acceptable level of fixed broadband service as defined in 7 U.S.C. 950bb(e)(1).",Defines “unserved area” as an area with fixed broadband download speeds below 25 megabits per second (Mbps) and upload speeds below 3 Mbps.
Maine,2019,35-A Maine Rev. Stat. 9211,Fund - Broadband,,ConnectMaine Fund,"1. ConnectMaine Fund established. The ConnectMaine Fund, referred to in this section as ""the fund,"" is established as a nonlapsing fund administered by the authority for the purposes of supporting the activities and projects of the authority under this chapter. The ConnectMaine Fund may also be referred to as ""the ConnectME Fund."" &para;2. Assessment. After receiving authorization pursuant to Title 5, section 8072 to finally adopt major substantive rules under section 9205, subsection 3 or after January 15, 2007, whichever is later, the authority may require every communications service provider to contribute on a competitively neutral basis to the fund. The assessment may not exceed 0.25% of the revenue received or collected for all communications services provided in this State by the communications service provider. A facilities-based provider of wireless voice or data retail service may voluntarily agree to be assessed by the authority as a communications service provider under this subsection. &para;2-A. Surcharge; collection. Beginning January 1, 2020, in addition to the assessment imposed pursuant to subsection 2, a ConnectME surcharge of 10¢ per line or number is imposed. The assessment imposed pursuant to subsection 2 and the surcharge imposed pursuant to this subsection must be collected from the customer on a monthly basis by each communications service provider. Revenue must be deposited in the fund. ","Establishes the ConnectMaine Fund, supported through an assessment on all communications services in the state, which must be clearly identified on customer bills, and administered through the ConnectMaine Authority. Also creates a surcharge of 10 cents per telephone line or number to support the fund."
Maine,2020,"30-A Maine Rev. Stat. 5225, sub-1 ",Tax Incentives,,Project costs,"The commissioner shall review proposed project costs to ensure compliance with this subsection. Authorized project costs are: … C. Costs related to economic development, environmental improvements, fisheries and wildlife or marine resources projects, recreational trails, broadband service development, expansion or improvement, including connecting to broadband service outside the tax increment financing district, or employment training within the municipality or plantation, including, but not limited to: … (9) Costs associated with broadband and fiber optics expansion projects, including preparation, planning, engineering and other related costs in addition to the construction costs of those projects. If an area within a municipality or plantation is unserved with respect to broadband service, as defined by the ConnectMaine Authority as provided in Title 35-A, section 9204-A, subsection 1, broadband and fiber optics expansion projects may serve residential or other nonbusiness or noncommercial areas in addition to business or commercial areas within the municipality or plantation; and ",Authorizes costs associated with deploying nonresidential broadband infrastructure for purposes of tax increment financing districts as well as those for infrastructure to provide residential service if the ConnectMaine Authority considers the project’s service area to be unserved.
Maine,2020,35-A Maine Rev. Stat. 9203,Office,,ConnectMaine Authority,"1. Establishment; membership. The ConnectMaine Authority is established to further the goals and policies in section 9202-A. The authority is created as a body corporate and politic and a public instrumentality of the State. The exercise by the authority of powers conferred by this chapter is considered to be the performance of essential governmental functions. The authority consists of the following 7 voting members: A. The chair of the Public Utilities Commission or the chair's designee; B. The Chief Information Officer of the State or the officer's designee; C. One representative of consumers, appointed by the Governor; D. Two members with significant knowledge of communications technology, appointed by the Governor; E. The Commissioner of Economic and Community Development or the commissioner's designee; and F. One member with significant knowledge of telemedicine as defined in Title 24-A, section 4316, subsection 1, appointed by the Governor. … 7. Staff; central broadband planning board. The Department of Economic and Community Development shall provide staff for the authority. That staff shall serve as the central broadband planning board for the State and shall support the authority in accordance with the provisions of this chapter.",Establishes the ConnectMaine Authority and defines membership and length of membership terms and specifies that the Department of Economic and Community Development shall staff the authority.
Maine,2019,35-A Maine Rev. Stat. 9207,Mapping,,Collection of Data,"Subject to the provisions in this section, the authority shall collect annually from communications service providers and any wireless providers that own or operate advanced communications technology infrastructure in the State data concerning infrastructure deployment for the purpose of developing mapping information to assist the authority in implementing the provisions of section 9202-A; pricing data for advertised retail pricing for broadband services offered in the State; and revenue data for the purpose of assessing communications service providers subject to section 9211. The authority shall permit providers that have provided data to the authority at a level of detail that the authority has determined acceptable to continue to provide the data in the same format. For mapping data, the authority, whenever possible, shall use data formats consistent with data formats used for mapping at the federal level.","Authorizes the ConnectMaine Authority to collect data on broadband deployment, pricing, and revenue for developing broadband mapping information and encourages the authority to employ the same data formats as are used for mapping at the federal level whenever possible."
Maine,2020,35-A Maine Rev. Stat. 9217,Plan,,Community broadband planning,"The authority shall provide funds for broadband planning grants to municipalities, groups of municipalities or nonprofit local or regional community organizations that are providing local or regional economic development programs to develop plans to expand the availability of broadband services in unserved and underserved areas. &para;1. Elements of plans. Plans funded through grants under this section may include: &para;A. A description of local broadband needs and goals; &para;B. An inventory of existing broadband infrastructure assets within the municipality, municipalities or region; &para;C. A gap analysis defining the additional broadband infrastructure necessary to meet identified needs and goals; &para;D. One or more potential network designs, cost estimates, operating models and potential business models based on input from broadband providers operating within the municipality, municipalities or region and any other parties that submit a network design solution in the course of developing the plan to address any broadband gaps identified in paragraph C; and &para;E. An assessment of all municipal procedures, policies, rules and ordinances that have the effect of delaying or increasing the cost of broadband infrastructure deployment. &para;The authority shall make all plans developed using grant funds under this section available on the authority's publicly accessible website. ",Directs the ConnectMaine Authority to provide planning grants to municipalities or nonprofit local or regional economic development programs to expand broadband availability. Defines requirements for plans receiving funding.
Maine,2019,35-A Maine Rev. Stat. 9208,Task Force,,Legislative oversight; report to committee,"No later than January 15th of each year, the authority shall provide a report to the joint standing committee of the Legislature having jurisdiction over utilities matters that: 1. Budget. Includes a report on the budget of the authority; 2. Activities. Documents the activities of the authority, including a detailed description of the progress toward the goals and objectives established in the triennial strategic plan under section 9218; 3. Investments. Contains a listing of any investments of money in the ConnectMaine Fund, as established pursuant to section 9211, and a tracking of the infrastructure improvements resulting from the investments; and 4. Market conditions. Contains an analysis of the availability of communications services and advanced communications technology infrastructure, including an analysis of the competitive market in the State for communications services and advanced communications technology infrastructure and whether the communications services provided in the State are reasonably comparable to services provided regionally and nationwide.&para;After receiving a report under this section, the joint standing committee of the Legislature having jurisdiction over utilities matters may report out legislation relating to the authority.","Requires the ConnectMaine Authority to provide a report to the Legislature by Jan. 15 of each year containing its budget, programmatic activities, investment in the ConnectMaine Fund, and market conditions, including availability of advanced communications, technology infrastructure, and market competitiveness. "
Maryland,2020,Md. Code Corps. And Assoc. 5-607,Cooperatives,Electric,Powers,"(a) In general. -- A cooperative has the power to: (12) Construct, maintain, or operate or allow others to construct, maintain, or operate conducting or communications facilities that furnish telecommunications, broadband Internet access, or related services, along, on, under, or across:&para;(i) Real property, personal property, rights-of-way, and easements owned, held, or otherwise used by the cooperative; and&para;(ii) Publicly owned lands, roadways, and public ways, with the prior consent of the governing body of the municipal corporation or county in which the facilities are proposed to be constructed and under any reasonable regulations and conditions imposed by the governing body of the municipal corporation or county; (c) Allocation of costs incurred under subsection (a)(12). -- To ensure that electric customers do not subsidize the cost of broadband services, an electric cooperative shall allocate properly all costs incurred under subsection (a)(12) of this section between electricity-related services and broadband services.","Allows electric cooperatives to construct, maintain, and operate broadband networks across property they own, have an easement on, or are permitted by a local government to use. Prohibits electric cooperatives from cross-subsidizing their electric and broadband lines of business. "
Maryland,2020,Md. Code Corps. And Assoc. 5-635 et seq.,Cooperatives,Electric,Voting for a member-regulated cooperative -- Requirements -- Board meetings,"(a) (1) To operate as a member-regulated cooperative, a cooperative shall:&para;(i) Submit a request for a waiver from the application of affiliate regulations in accordance with COMAR 20.40.01.04; or&para;(ii) Conduct a vote of the cooperative's members in accordance with this section.&para;(2) The Commission shall expedite the review of a waiver requested under paragraph (1)(i) of this subsection...(a) Subject to subsection (b) of this section, within 180 days after providing a certification to the Commission under § 5-635(h) of this subtitle, the cooperative's board of directors, by a supermajority vote, shall:&para;(1) Adopt bylaws for the member-regulated cooperative; and&para;(2) Amend the cooperative's articles of incorporation to reflect the cooperative's conversion to being a member-regulated cooperative...(a) A member-regulated cooperative shall make available to its members:&para;(1) Rate schedules, tariffs, and terms and conditions of service;&para;(2) Financial and statistical information regarding:&para;(i) Operating revenues;&para;(ii) Revenues per rate class;&para;(iii) Number of members per rate class; and&para;(iv) Number of meters per rate class;&para;(3) Data and information concerning load management, energy conservation, and other similar programs;&para;(4) Information concerning ongoing consumer education programs; and&para;(5) Information concerning the member-regulated cooperative's performance, including income statements, balance sheets, and reliability data.&para;(b) A member-regulated cooperative may not adopt a new rate or increase or decrease its rates or charges for the services it provides unless the member-regulated cooperative provides to its members:&para;(1) Notice of the proposed rates;&para;(2) The opportunity to comment on the proposed rates; and&para;(3) The opportunity to observe the portion of the meeting in which the board of directors votes on the proposed rates...(a) On or before December 1 each year, a member-regulated cooperative shall report to the Senate Finance Committee and the House Economic Matters Committee, in accordance with § 2-1257 of the State Government Article, on the status of the deployment of broadband Internet service to the member-regulated cooperative's members.",Establishes guidelines of operation and reporting responsibilities of member-regulated cooperatives.
Maryland,2008,Md. Code. Econ. Dev. 13-502 et seq.,Task Force,,Established,"There is a Maryland Rural Broadband Coordination Board. (a) Membership. -- The Board consists of the following members:&para;(1) the Secretary, or the Secretary's designee;&para;(2) the Secretary of Transportation, or the designee of the Secretary of Transportation;&para;(3) the Secretary of Information Technology or the Director of Network Maryland as the designee of the Secretary of Information Technology;&para;(4) the chair of the Rural Maryland Council, or the chair's designee;&para;(5) the chair of the Tri-County Council for Southern Maryland, or the chair's designee;&para;(6) the chair of the Tri-County Council for Western Maryland, or the chair's designee;&para;(7) the chair of the Mid-Shore Regional Council, or the chair's designee;&para;(8) the chair of the Tri-County Council for the Lower Eastern Shore of Maryland, or the chair's designee; and&para;(9) the chair of the Upper Shore Regional Council, or the chair's designee.&para;(b) Chair. -- The Board shall elect a chair from among its members.&para;(c) Bylaws. -- The Board shall adopt bylaws to carry out this subtitle. The Board shall:&para;(1) assist in the deployment of broadband communication infrastructure in rural and underserved areas of the State;&para;(2) cooperate with public, private, and nonprofit entities to obtain, coordinate, and disseminate resources for the establishment of broadband communication services in rural and underserved areas of the State;&para;(3) review and approve the disbursement of funds under the Rural Broadband Assistance Fund under § 5-1102 of this article and any other federal, State, and private financial resources that may be provided to assist the establishment of broadband communication services in rural and underserved areas of the State; and&para;(4) perform other functions that are consistent with the intent of this subtitle. The Board and affected units of State government shall cooperate fully in carrying out the intent of this subtitle. The Rural Maryland Council shall:&para;(1) provide staff support to the Board; and&para;(2) report on the activities of the Board in the preceding fiscal year in the Council's annual report under § 13-416 of this title.","Establishes and sets membership rules for the Maryland Rural Broadband Coordination Board, and directs the board to aid the deployment of broadband communication infrastructure in rural and underserved areas of the state. Directs the Rural Maryland Council to provide staff support to the board and include its activities in the council’s annual report."
Maryland,2019,Md. Code Corps. And Assoc. 5-641.1,Rights-of-way,Easements,,"(b) This section applies only to a cooperative in the exercise of its authority under § 5–607(a)(12) of this subtitle to construct, maintain, or operate conducting or communications facilities within an electric easement that does not expressly provide for the construction, maintenance, or operation of conducting or communications facilities within the easement.&para;(c) (1) Except as provided in paragraph (3) of this subsection, a cooperative shall give notice to each owner of property subject to an electric easement at least 60 days before the cooperative:&para;(i) Constructs conducting or communications facilities within the easement; or&para;(ii) Makes capacity available for telecommunications, broadband Internet access, or related services within the electric easement.&para;(2) The cooperative shall give the notice required under this subsection by:&para;(i) Posting notice on the cooperative’s website; and&para;(ii) Including the notice with billing information such as a bill insert or bill message.&para;(3) The cooperative shall give the notice required under this section at the next following annual member meeting of the cooperative after the notice has been given under paragraph (2) of this subsection.&para;(4) The notice shall contain:&para;(i) A statement indicating the cooperative’s intent to use the electric easement by:&para;1. Constructing new conducting or communications facilities; or&para;2. Making capacity available for telecommunications, broadband Internet access, or related services through existing facilities; and&para;(ii) A written plan for making broadband Internet service available within the cooperative’s service territory.","Allows cooperatives to use existing electric easements for broadband even if those easements not explicitly authorize broadband use, and specifies the process by which cooperatives must notify property owners before exercising this right."
Maryland,2019,"2019 Md. Laws, Chap. 14",State Universal Service Fund,Schools and Libraries,Supplemental Capital Grant Program for Local School Systems,"Supplemental Capital Grant Program for Local School Systems. Provide funds to local school systems with enrollment growth that over the last 5 years exceeds 150% of the statewide average or with 300 or more relocatable classrooms. These funds shall be administered in accordance with § 5–313 of the Education Article and can be used for grants to local boards of education for federal E–rate–eligible special construction such&para;as fiber and broadband infrastructure projects for federak E–rate–eligible applicants, provided that notwithstanding § 5–313 of the Education Article, $28,200,000 of this&para;authorization shall be distributed as follows: (1) Anne Arundel County … 1,860,000 (2) Baltimore County … 2,545,000 (3) Howard County … 1,276,000 (4) Montgomery County … 14,034,000 (5) Prince George's County … 8,485,000&para;Further provided that grants awarded by the Interagency Commission on School Construction under items (1) through (5) of this authorization shall be matched by local funds equal to the required local cost-share established in accordance with Title 5, Subtitle 3 of the Education Article … $68,200,000","Makes an appropriation to the Supplemental Capital Grant Program for Local School Systems, which can be used for E-rate-eligible special construction projects; specifies amounts to be awarded to individual school districts; and requires that localities match the state funds."
Maryland,2008,Md. Code. Econ. Dev. 5-1102,Fund - Broadband,,Established,"(a) There is a Rural Broadband Assistance Fund in the Department. (b) The purpose of the Fund is to assist in the establishment of broadband communication services in rural and underserved areas of the State. (c) The Department shall administer the Fund. (d) (1) The Fund is a special, nonlapsing fund that is not subject to reversion under § 7–302 of the State Finance and Procurement Article. (2) The Treasurer shall hold the Fund separately, and the Comptroller shall account for the Fund. (e) The Fund consists of: (1) money appropriated in the State budget to the Fund; (2) money appropriated in the State budget to the Maryland Economic Development Assistance Fund under Subtitle 3 of this title for the purpose of assisting in the establishment of broadband communication services in rural and underserved areas of the State; (3) federal money allocated or granted to the Fund; and (4) any other money from any source accepted for the benefit of the Fund. (f) The Fund may be used only for planning, construction, and maintenance of broadband communication services and equipment in rural and underserved areas and related activities. (g) (1) The Treasurer shall invest the money in the Fund in the same manner as other State money may be invested. (2) Any investment earnings of the Fund shall be credited to the General Fund of the State. (h) The Department shall make payments from the Fund within 30 days after notice of a decision of the Board under § 13–504(3) of this article.","Establishes the Rural Broadband Assistance Fund as a special, permanent fund administered by the Department of Economic Development for deploying broadband in rural and underserved areas. The fund includes money appropriated to it and to the Maryland Economic Development Assistance Fund for promotion of broadband access in rural and unserved areas, federal funds, as well as money from any other source accepted to benefit the fund."
Maryland,2017,Md. Code. Pub. Util. 8-201 (j),Regulatory Authority,,Lifeline,"(j) Nothing in this section may be construed to establish jurisdiction by the Commission over wireless services, broadband services, voice over Internet protocol services, or other services that are not provided through telephone lines.",States that the Public Service Commission does not have jurisdiction over broadband services.
Maryland,2019,Md. Code. State Finance and Procurement 2-207,Fund - Other,,Rural Maryland Prosperity Investment Fund,"(4) the objective of the Rural Maryland Prosperity Investment Fund is to help raise the overall standard of living in rural areas to a level that meets or exceeds statewide benchmark averages by 2030, while preserving the best aspects of a pastoral heritage and rural way of life; (5) resources provided to the Fund are designed to facilitate significant targeted investments in important economic, health care, and community development programs and promote regional and intergovernmental cooperation; (6) these investments will also enable local and regional public and nonprofit organizations to leverage additional nonstate financial and human resources to facilitate the realization of sustainable rural development objectives while the program is in effect; and (7) the Fund will serve the interests of the entire State by: (i) encouraging the increase of entrepreneurial activity and commerce and a balanced economy in the State; (ii) relieving conditions of unemployment and underemployment in rural areas; (iii) assisting in the retention of valuable farm and forest land for productive use by present and future generations; (iv) promoting intergovernmental cooperation and public sector/private sector partnerships in and between rural and other areas; (v) enhancing the deployment of housing, transportation, water, wastewater, and broadband communications infrastructure and services in rural areas; (vi) supporting rural commercial center redevelopment and community revitalization efforts; and (vii) generally promoting the health, happiness, safety, employment opportunity, and general welfare of the residents of each of the rural counties and municipal corporations of the State. (c) (1) There is a Rural Maryland Prosperity Investment Fund.","Establishes the Rural Maryland Prosperity Investment Fund to help raise rural areas’ standard of living to at least statewide benchmark standards. The fund can be used for multiple purposes, including broadband infrastructure."
Maryland,2019,Md. Code. State Finance and Procurement 2-207,Legislative Intent,,Rural Maryland Prosperity Investment Fund,"(b) The General Assembly finds that: (1) many rural communities in the State face a host of difficult challenges relating to persistent unemployment and poverty, changing technological and economic conditions, an aging population and an out–migration of youth, inadequate access to quality housing, health care and other services, and deteriorating or inadequate transportation, communications, sanitation, and economic development infrastructure; (2) Maryland’s agricultural and resource–based industries continue to underpin the local economies of rural communities but are increasingly under threat from national and international market competition, urban encroachment and land development pressure, and environmental and regulatory influences; (3) local governments, regional organizations, educational institutions, and private sector service providers have been unable to meet all the economic development, community development, health care, and human services needs of Maryland residents in the rural counties and municipal corporations because of a lack of adequate available capacity and resources;","Establishes the Rural Maryland Prosperity Investment Fund to help raise rural areas’ standard of living to at least statewide benchmark standards. The fund can be used for multiple purposes, including broadband infrastructure."
Maryland,2017,Md. Code. Tax. Gen. 8-401-4,Tax Incentives,,Definitions," For a public service company engaged in a telephone business in the State, gross receipts does not include: (i) gross charges from the sale by the public service company to another public service company subject to the tax imposed by this subtitle of a service or product for resale; (ii) gross charges from the sale by the public service company of Internet access service by which a connection is provided between a computer and the Internet; or (iii) gross charges from the sale of telecommunications service obtained by using a prepaid telephone calling arrangement, as defined in § 11–101 of this article.",Exempts gross charges on internet services by a public service company from the definition of gross receipts for tax purposes.
Maryland,2018,Md. Code. Transportation 8-654,Rights-of-way,ROW - Other,Use of rights-of-way for installation of broadband communication infrastructure by nonprofit telecommunications services,"(a) The following units of the State shall allow the use of any right–of–way or easement for the installation of broadband communication infrastructure provided by nonprofit telecommunications services providers in rural and underserved areas of the State without imposition of any charge for the use of the right–of–way or the easement: (1) The Department of Transportation, including the State Highway Administration, the Maryland Transportation Authority, and the Maryland Transit Administration; (2) The Board of Public Works; (3) The Department of Information Technology; (4) The Department of Natural Resources; and (5) The Department of the Environment. (b) This section may not be construed to limit or otherwise affect any right granted to the State or a unit of the State under § 253 of the federal Telecommunications Act of 1996 with regard to for profit telecommunications services providers.","Directs the departments of Transportation, Information Technology, Natural Resources, and the Environment, as well as the Board of Public Works, to allow nonprofit telecommunications service providers to use any right of way easement in rural or unserved areas of the state without charge. "
Michigan,2020,Mich. Comp. Laws 460.38a,Pole attachments,,Nondiscriminatory access to poles; grounds for denial; make-ready work; attachment requirements; request for access; modification costs; definitions.,"(1) A cooperative electric utility that is member-regulated under this act shall provide a video service provider, broadband provider, wireless provider, or any telecommunication provider with nondiscriminatory access to its poles upon just and reasonable rates, terms, and conditions for their attachments. A cooperative electric utility that is member-regulated under this act may deny a video service provider, broadband provider, wireless provider, or any telecommunication provider access to its poles on a nondiscriminatory basis for either of the following:&para; (a) If there is insufficient capacity.&para; (b) For reasons of safety, reliability, or generally applicable engineering standards.&para; (2) A video service provider, broadband provider, wireless provider, or any telecommunication provider and the cooperative electric utility that is member-regulated under this act shall comply with the process for make-ready work under 47 USC 224 and the orders and regulations implementing 47 USC 224 adopted by the Federal Communications Commission. A good-faith estimate established by the cooperative electric utility that is member-regulated under this act for any make-ready work for poles must include pole replacement if necessary. All make-ready costs must be based on actual costs not recovered through the annual recurring rate, with detailed documentation provided.&para; (3) A cooperative electric utility that is member-regulated under this act may require a video service provider, broadband provider, wireless provider, or any telecommunication provider to execute an agreement for attachments on reasonable terms and conditions if that agreement is required of all others.&para; (4) The attachment of facilities on the poles of a cooperative electric utility that is member-regulated under this act by a video service provider, broadband provider, wireless provider, or any telecommunication provider must comply with the most recent applicable, nondiscriminatory safety and reliability standards adopted by the cooperative electric utility and with the National Electric Safety Code published by the Institute of Electrical and Electronics Engineers, in effect on the date of the attachment.&para; (5) A request for access to the poles of a cooperative electric utility that is member-regulated under this act by a video service provider, broadband provider, wireless provider, or any telecommunication provider must be in writing. Access must be granted or denied within the time frame established by the regulations implementing 47 USC 224 adopted by the Federal Communications Commission. If access is denied, the cooperative electric utility that is member-regulated under this act must confirm the denial in writing. The denial of access issued by the cooperative electric utility that is member-regulated under this act must be specific, include all relevant evidence and information supporting the denial, and explain how that evidence and information relate to a denial of access for reasons of insufficient capacity, safety, reliability, or generally applicable engineering standards.&para; (6) The costs of modifying a facility must be borne by all parties that obtain access to the facility as a result of the modification and by all parties that directly benefit from the modification. Each party that obtains access to the facility as a result of the modification and each party that directly benefits from the modification shall share proportionately in the cost of the modification. Except as otherwise provided in this subsection, a party with a preexisting attachment to the modified facility is considered to directly benefit from a modification if, after receiving notification of that modification, it adds to or modifies its attachment. A party with a preexisting attachment to a pole is not required to bear any of the costs of rearranging or replacing its attachment if that rearrangement or replacement is necessitated solely as a result of an additional attachment or the modification of an existing attachment sought by another party, unless the modification is necessitated by the cooperative electric utility that is member-regulated under this act for an electric service, that includes, but is not limited to, smart grid technologies. If a party makes an attachment to the facility after the completion of the modification, that party shall share proportionately in the cost of the modification if that modification rendered the added attachment possible.&para; (7) An attaching party shall obtain any necessary authorization before occupying public ways or private rights-of-way with its attachment.&para; (8) As used in this section:&para; (a) ""Attachment"" means any wire, cable, antennae facility, or apparatus for the transmission of writing, signs, signals, pictures, sounds, or other forms of information installed by or on behalf of a provider of cable service or telecommunications service upon any pole owned or controlled, in whole or in part, by 1 or more cooperative electric utilities that are member-regulated under this act. Attachment includes, but is not limited to, a micro wireless facility or small cell wireless facility as those terms are defined in section 7 of the small wireless communications facilities deployment act, 2018 PA 365, MCL 460.1307, if either of the following are met:&para; (i) The micro wireless facility or small cell wireless facility is installed in the communications space, as that term is defined in the National Electrical Safety Code published by the Institute of Electrical and Electronics Engineers as of the date of the installation.&para; (ii) The micro wireless facility or small cell wireless facility is installed in or above the electric space, as that term is defined in the National Electrical Safety Code published by the Institute of Electrical and Electronics Engineers as of the date of the installation, and that facility is installed and maintained by either of the following:&para; (A) A cooperative electric utility that is member-regulated under this act.&para; (B) A qualified contractor that meets both of the following:&para; (I) Generally applicable written contractor specifications of the cooperative electric utility that is member-regulated under this act.&para; (II) The definition of qualified as provided in the National Electrical Safety Code published by the Institute of Electrical and Electronics Engineers as of the date of the installation or maintenance, as applicable.&para; (b) ""Broadband provider"" means a person that provides broadband internet access transport services as that term is defined in section 2 of the metropolitan extension telecommunications rights-of-way oversight act, 2002 PA 48, MCL 484.3102.&para; (c) ""Telecommunication provider"" means that term as defined in section 102 of the Michigan telecommunications act, 1991 PA 179, MCL 484.2102.&para; (d) ""Video service provider"" means that term as defined in section 1 of the uniform video services local franchise act, 2006 PA 480, MCL 484.3301.&para; (e) ""Wireless provider"" means that term as defined in section 9 of the small wireless communications facilities deployment act, 2018 PA 365, MCL 460.1309.","Directs the departments of Transportation, Information Technology, Natural Resources, and the Environment, as well as the Board of Public Works, to allow nonprofit telecommunications service providers to use any right of way easement in rural or unserved areas of the state without charge. "
Michigan,2020,Mich. Comp. Laws 600.2979,Rights-of-way,Easements,"Action for trespass, unjust enrichment, or other action; Michigan electric cooperative easement; rebuttable presumption; liability; damages; definitions."," (1) In a trespass, unjust enrichment, or any other action arising from or relating to an easement held by a Michigan electric cooperative and brought against the holding Michigan electric cooperative, there is a rebuttable presumption that there is no unreasonable or material increase in the burden on the property subjected to the easement if the Michigan electric cooperative can show 1 of the following:&para; (a) That the new or additional facility was installed above the electric space, as provided in the National Electrical Safety Code in effect on the date of installation.&para; (b) That the new facility replaced a previously existing facility in the same or substantially similar location on the pole or poles.&para; (c) That the new or additional facility was installed within the electric space or within the communications space, as provided in the National Electrical Safety Code in effect on the date of the installation.&para; (d) That the new or additional facility was placed underground along the same or substantially similar location of existing underground electric facilities.&para; (2) In a trespass, unjust enrichment, or any other action arising from or relating to an easement held by a Michigan electric cooperative and brought against the holding Michigan electric cooperative, the Michigan electric cooperative is not liable unless the plaintiff establishes that 1 of the following applies to the new or additional facility installed on an existing easement:&para; (a) The facility was installed outside the geographic bounds of the express or prescriptive easement granted or obtained.&para; (b) The facility's purpose and use are expressly and specifically prohibited by the terms of the easement.&para; (c) The facility unreasonably or materially increases the burden on the land.&para; (3) In a trespass, unjust enrichment, or any other action arising from or relating to an easement held by a Michigan electric cooperative and brought against the holding Michigan electric cooperative, evidence of revenue realized by the Michigan electric cooperative from services using the new or additional facility is inadmissible for purposes of proving damages. Any damages in a trespass, unjust enrichment, or any other action arising from or relating to an easement held by a Michigan electric cooperative and brought against the holding Michigan electric cooperative must be determined by actual diminution of value of the property subject to the easement and directly related to the installation of the additional facility. However, damages awarded must not exceed $3.00 per linear foot.&para; (4) As used in this section:&para; (a) ""Facility"" means new or expanded broadband fiber infrastructure used, at least partially, for electric service purposes.&para; (b) ""Michigan electric cooperative"" includes entities engaged in the transmission or distribution of electric service and that are either of the following:&para; (i) An electric cooperative headquartered in this state organized as a cooperative corporation under sections 98 to 109 of 1931 PA 327, MCL 450.98 to 450.109, serving primarily members of the cooperative electric utility.&para; (ii) Another cooperative corporation headquartered in this state.","States that broadband facilities do not increase the burden on properties in trespass, unjust enrichment, or any other legal actions related to easements held by electric cooperatives. "
Michigan,2020,Mich. Public Act 166 of 2020,Fund - Broadband,,,"(2) From the funds appropriated in part 1 for statewide broadband, the MDTMB shall maintain a statewide broadband grant program called the connecting Michigan communities broadband grant program within 60 days of enactment. Money for the program must be provided by appropriation of state or federal funding as provided by law and managed by the MDTMB.&para;(3) The MDTMB shall only use money from the grant program to award grants to applicants for projects that exclusively extend broadband service into unserved areas in this state and for the MDTMB's costs to administer the program.","Creates the Connecting Michigan Communities Broadband Grant Program to be administered by the Michigan Department of Technology, Management, and Budget, and directs the department to provide grants for projects that extend broadband service into unserved areas."
Mississippi,2020,Miss. Code Ann. 27-65-101,Tax Incentives,,Exemptions; industrial,"(b) Sales of equipment to telecommunications enterprises after June 30, 2003, and before July 1, 2025, that is installed in Tier One areas and used in the deployment of broadband technologies shall be exempt from one-half (½) of the taxes imposed on such transactions under this chapter.&para;(c) Sales of equipment to telecommunications enterprises after June 30, 2003, and before July 1, 2025, that is installed in Tier Two and Tier Three areas and used in the deployment of broadband technologies shall be exempt from the taxes imposed on such transactions under this chapter.","Exempts telecommunications companies’ purchases of broadband equipment from half of the sales tax owed if the equipment is installed in tier one areas, and the entire sales tax if installed in tier two or three areas. "
Mississippi,2020,Miss. Code Ann. 57-87-5,Tax Incentives,,"Definitions; credit against income tax and corporation franchise tax liability of telecommunications enterprises for investments made after June 30, 2003 and before July 1, 2020.","(2) With respect to the investment in each year by a telecommunications enterprise after June 30, 2003, and before July 1, 2025, there shall be allowed annually as a credit against the aggregate tax imposed by Chapters 7 and 13 of Title 27, Mississippi Code of 1972, an amount equal to:&para;(a) Five percent (5%) of the cost of equipment used in the deployment of broadband technologies in Tier One areas;&para;(b) Ten percent (10%) of the cost of equipment used in the deployment of broadband technologies in Tier Two areas; and&para;(c) Fifteen percent (15%) of the cost of equipment used in the deployment of broadband technologies in Tier Three areas.","Creates a tax credit for telecommunications companies that invest in broadband equipment for expenditures made between June 30, 2003, and July 1, 2025. "
